error loadView general | 24.11.2016 01:54:10  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 01:55:38  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 01:56:04  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 01:57:28  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 01:57:45  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 02:17:48  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 02:20:09  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 02:20:11  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 02:21:08  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 02:21:16  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 02:21:48  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 02:23:24  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 02:24:13  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 02:28:07  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 02:28:11  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 02:28:39  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 02:28:45  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 02:30:00  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 02:32:18  |  User:   | products_fe/list_products/modules/products_fe/view | response 200
error loadView general | 24.11.2016 02:32:18  |  User:   | products_fe/list_products | response 200
error loadView general | 24.11.2016 02:32:18  |  User:   | products_fe/list_products | response 200
ERROR: [4096] Object of class mysqli_result could not be converted to string
Unknown Error on line 68 in file /var/www/osotemi_web/modules/products_fe/model/DAO/products_fe_dao.class.singleton.php
 | 24.11.2016 02:38:41  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 02:45:42  |  User:   | products_fe/list_products/modules/products_fe/view | response 200
error loadView general | 24.11.2016 02:45:42  |  User:   | products_fe/list_products | response 200
error loadView general | 24.11.2016 02:45:42  |  User:   | products_fe/list_products | response 200
error loadView general | 24.11.2016 02:47:11  |  User:   | products_fe/list_products/modules/products_fe/view | response 200
error loadView general | 24.11.2016 02:47:11  |  User:   | products_fe/list_products | response 200
error loadView general | 24.11.2016 02:47:11  |  User:   | products_fe/list_products | response 200
error loadView general | 24.11.2016 02:48:17  |  User:   | products_fe/list_products/modules/products_fe/view | response 200
error loadView general | 24.11.2016 02:48:17  |  User:   | products_fe/list_products | response 200
error loadView general | 24.11.2016 02:48:17  |  User:   | products_fe/list_products | response 200
error loadView general | 24.11.2016 03:00:53  |  User:   | products_fe/list_products/modules/products_fe/view | response 200
error loadView general | 24.11.2016 03:00:53  |  User:   | products_fe/list_products | response 200
error loadView general | 24.11.2016 03:00:53  |  User:   | products_fe/list_products | response 200
error loadView general | 24.11.2016 03:00:53  |  User:   | products_fe/list_products | response 200
error loadView general | 24.11.2016 06:34:33  |  User:   | products_fe/list_products/modules/products_fe/view | response 200
error loadView general | 24.11.2016 06:34:33  |  User:   | var/www/osotemi_web/media | response 200
error loadView general | 24.11.2016 06:34:33  |  User:   | var/www/osotemi_web/media | response 200
error loadView general | 24.11.2016 06:34:33  |  User:   | var/www/osotemi_web/media | response 200
error loadView general | 24.11.2016 06:35:28  |  User:   | products_fe/list_products/modules/products_fe/view | response 200
error loadView general | 24.11.2016 06:35:46  |  User:   | products_fe/list_products/modules/products_fe/view | response 200
error loadView general | 24.11.2016 06:35:51  |  User:   | products_fe/list_products/modules/products_fe/view | response 200
error loadView general | 24.11.2016 06:37:22  |  User:   | products_fe | response 200
error loadView general | 24.11.2016 06:37:38  |  User:   | products_fe | response 200
